catalog_no,source_labelarchive,year_of_release,album_title,album_artists,countrys,culture_groups,genres,instruments,languages,keywords,link,single_country,longitude,latitude
FW03506,Folkways Records,1962,Raymond Swing: Seventy-Fifth Anniversary Album,Raymond Swing,United States,Anglo-American,Documentary,"Piano; Violin",,"Contemporary music; Documentary; Radio programs",http://www.folkways.si.edu/raymond-swing/seventy-fifth-anniversary-album/documentary/album/smithsonian,United States,-84.6096023326642,32.0245072054524
FW03507,Folkways Records,1961,Now Is the Time for Fishing,Sam Larner,United Kingdom,,"Celtic; World",,,"Ballads; Bawdy songs; Courtship; Disasters; Love songs; Maritime; Music--British Isles; Oral history; Tragic songs; Wit and humor",http://www.folkways.si.edu/sam-larner/now-is-the-time-for-fishing/celtic-world/music/album/smithsonian,United Kingdom,-4.21353853075495,57.075666186932
FW03515,Folkways Records,1957,Sussex Folk Songs and Ballads,Tony Wales,United Kingdom,,"Celtic; World","Guitar; Vocals",,"Ballads; Bawdy songs; Carols; Celebrations; Courtship; Crime; Drinking songs; Games; Holiday; Love songs; Maritime; Marriage; Murder; Music--British Isles; Music--Juvenile; Nonsense literature; Occupational; Political ballads and songs; Sentimental; Topical songs; Tragic songs; Wit and humor",http://www.folkways.si.edu/tony-wales/sussex-folk-songs-and-ballads/celtic-world/music/album/smithsonian,United Kingdom,-2.11609080405877,53.8384326509034
FW03516,Folkways Records,1961,Irish Folk Songs and Ballads,Dick Cameron,"Ireland; United Kingdom",,"Celtic; World","Guitar; Vocals",,"Music--British Isles; Music--Ireland",http://www.folkways.si.edu/dick-cameron/irish-folk-songs-and-ballads/celtic-world/music/album/smithsonian,Ireland,-9.66505531978606,54.2815116869874
FW03517,Folkways Records,1977,Irish Music from Cleveland,Tom Byrne and Tom McCaffrey,"Ireland; United Kingdom; United States",Irish-American,"Celtic; World","Concertina; Fiddle; Flute; Mandolin",,"Dance; Highland fling (Dance); Hornpipes; Jigs; Music--British Isles; Music--Ireland; Reels (Music)",http://www.folkways.si.edu/tom-byrne-and-tom-mccaffrey/irish-music-from-cleveland/celtic-world/music/album/smithsonian,Ireland,-6.41376931395592,52.5781358019378
FW03518,Folkways Records,1960,"Irish Folk Songs for Women, Vol. 2",Lori Holland,"Ireland; United Kingdom",,"Celtic; World","Guitar; Vocals",,"Music--British Isles; Music--Ireland; Women's music",http://www.folkways.si.edu/lori-holland/irish-folk-songs-for-women-vol-2/celtic-world/music/album/smithsonian,Ireland,-8.40520709949526,53.8582289248058
FW03521,Folkways Records,1979,"Irish Music from Cleveland, Vol. 2: The Community Tradition",Various Artists,"Ireland; United Kingdom; United States",Irish-American,"Celtic; World","Accordion; Fiddle; Flute; Piano",,"Dance; Fiddle tunes; Folksong revival; Jigs; Music--British Isles; Music--Ireland; Polka (Dance); Reels (Music)",http://www.folkways.si.edu/irish-music-from-cleveland-vol-2-the-community-tradition/celtic-world/music/album/smithsonian,Ireland,-6.99353452989698,53.7068250995698
FW03523,Folkways Records,1980,"Irish Music from Cleveland, Vol. 3: The Continuing Tradition",Various Artists,"Ireland; United Kingdom; United States",Irish-American,"Celtic; World","Bodhran; Bodhrán; Fiddle; Flute; Penny whistle; Whistle",,"Dance; Folksong revival; Hornpipes; Jigs; Marches; Music--British Isles; Music--Ireland; Polka (Dance); Reels (Music); Wit and humor",http://www.folkways.si.edu/irish-music-from-cleveland-vol-3-the-continuing-tradition/celtic-world/album/smithsonian,Ireland,-9.54301765237891,51.763385564215
FW03524,Folkways Records,1959,Memphis Slim and the Real Boogie-Woogie,Memphis Slim,United States,African American,Blues,"Piano; Vocals",,"Blues; Boogie woogie (Music); Instrumental music",http://www.folkways.si.edu/memphis-slim/and-the-real-boogie-woogie/blues/music/album/smithsonian,United States,-86.396898504334,42.3876583122772
FW03525,Folkways Records,1965,A.L. Camp Plays the Banjo,Archibald L. Camp,United States,Anglo-American,American Folk,"Banjo; Guitar; Piano",,"Banjo music; Clog dancing; Folk songs--United States; Marches; Polka (Dance); Reels (Music); Schottisches; Waltz",http://www.folkways.si.edu/archibald-l-camp/al-camp-plays-the-banjo/american-folk/music/album/smithsonian,United States,-164.720724289292,68.0339386660171
SFW40165,Smithsonian Folkways Recordings,2005,New Orleans Street Singer,Snooks Eaglin,United States,African American,Blues,Guitar,English,,http://www.folkways.si.edu/snooks-eaglin/new-orleans-street-singer/blues/music/album/smithsonian,United States,-94.5524483427585,46.2216911275264
FW03528,Folkways Records,1971,The New Ragtime Guitar,David Laibman and Eric Schoenberg,United States,Anglo-American,"American Folk; Jazz &amp; Ragtime",Guitar,,"Folksong revival; Instrumental music; Jazz; Ragtime",http://www.folkways.si.edu/david-laibman-and-eric-schoenberg/the-new-ragtime-guitar/american-folk-jazz/music/album/smithsonian,United States,-108.11143514616,45.111967768381
FW03529,Folkways Records,1962,Twelve-String Guitar: Folk Songs and Blues Sung and Played by Fred Gerlach,Fred Gerlach,United States,,"American Folk; Blues","Guitar; Twelve string guitar; Vocals",,"Blues; Folksong revival; Spirituals (Songs)",http://www.folkways.si.edu/fred-gerlach/twelve-string-guitar-folk-songs-and-blues-sung-and-played-by/american/music/album/smithsonian,United States,-94.6544442228739,40.8604441708876
FW03530,Folkways Records,1957,Ragas: Songs of India,Balakrishna of Travancore,India,,World,"Sitar; Tabla",Hindi,Raga (Music),http://www.folkways.si.edu/balakrishna-of-travancore/ragas-songs-of-india/world/music/album/smithsonian,India,92.4640857757,27.4632213324783
FW03534,Folkways Records,1958,American Guitar,Ed Badeaux,United States,Anglo-American,American Folk,"Guitar; Vocals",,"Animals; Blues; Complaint; Courtship; Cowboys--Songs and music; Crime; Disasters; Folksong revival; Instrumental music; Love songs; Occupational; Prison songs; Protest songs; Ragtime; Railroads; Talking Blues; Wit and humor",http://www.folkways.si.edu/ed-badeaux/american-guitar/american-folk/music/album/smithsonian,United States,-103.191625466199,48.3203735081559
FW03536,Folkways Records,1961,Chicago Blues: Boogie Woogie and Blues Played and Sung By Memphis Slim,Memphis Slim,United States,African American,Blues,"Drum; Guitar; Piano; Vocals",,Blues,http://www.folkways.si.edu/memphis-slim/chicago-blues-boogie-woogie-and-blues-played-and-sung-by/music/album/smithsonian,United States,-156.856742760632,71.0017446596832
FW03537,Folkways Records,1979,"Elizabeth Cotten, Volume 3: When I'm Gone",Elizabeth Cotten,United States,African American,"African American Music; American Folk","Guitar; Vocals",,"Ballads; Blues; Folk songs--United States; Instrumental music; Murder; Nostalgia; Ragtime; Railroads--Songs and music; Religious",http://www.folkways.si.edu/elizabeth-cotten/volume-3-when-im-gone/african-american-music-folk/album/smithsonian,United States,-104.707142003503,44.4203177283095
FW03538,Folkways Records,1958,Tambourines to Glory: Gospel Songs by Langston Hughes and Jobe Huntley,Second Canaan Baptist Church Porter Singers,United States,African American,"African American Music; Gospel","Guitar; Piano; Saxophone; Tambourine; Tambourine (Drum); Vocals",,"Choral music; Gospel music",http://www.folkways.si.edu/second-canaan-baptist-church-porter-singers/tambourines-to-glory-gospel-songs-by-langston-hughes-and-jobe-huntley/african-american-music/album/smithsonian,United States,-87.4294507354275,30.9992012254639
FW03540,Folkways Records,1958,W. C. Handy Blues: As Sung by His Daughter Katharine Handy Lewis in Traditional Style,Katharine Handy Lewis,United States,African American,"Blues; Jazz &amp; Ragtime",Piano,,"Blues; Instrumental music",http://www.folkways.si.edu/katharine-handy-lewis/w-c-handy-blues-as-sung-by-his-daughter-in-traditional-style/jazz-ragtime/music/album/smithsonian,United States,-123.293567769738,45.0225637450634
FW03541,Folkways Records,1976,The Blues is Life,Victoria Spivey,United States,African American,Blues,"Drum; Kazoo; Piano; Ukulele; Vocals",,Blues,http://www.folkways.si.edu/victoria-spivey/the-blues-is-life/music/album/smithsonian,United States,-110.666428934057,43.7774121690866
FW03542,Folkways Records,1976,Sun is Going Down,Reverend Gary Davis,United States,African American,Blues,Guitar,,"Blues; Religious",http://www.folkways.si.edu/reverend-gary-davis/sun-is-going-down/blues/music/album/smithsonian,United States,-92.9806526232436,31.9695538077312
FW03544,Folkways Records,1958,Songs with Guy Carawan,Guy Carawan,United States,Anglo-American,American Folk,"Banjo; Bass; Flute; Guitar; Vocals",,"Adunke; Agriculture; Animals; Banjo music; Blues; Celebrations; Christmas music; Courtship; Dance; Disasters; Folksong revival; Holiday; Instrumental music; Love songs; Nonsense literature; Protest songs; Spirituals (Songs); Wit and humor; Work songs",http://www.folkways.si.edu/guy-carawan/songs-with/american-folk/music/album/smithsonian,United States,-156.291850644344,61.0923437006917
FW03545,Folkways Records,1963,Earl Robinson Sings,Earl Robinson,United States,Anglo-American,"American Folk; Struggle &amp; Protest",Guitar,,"Animals; Ballads; Folk songs--United States; Love songs; Maritime; Music--Juvenile; Occupational; Political ballads and songs; Protest songs; Resistance; Topical songs; Wit and humor; Working class--Songs and music",http://www.folkways.si.edu/earl-robinson/sings/american-folk-struggle-protest/music/album/smithsonian,United States,-94.7274445740727,33.2639459802826
FW03548,Folkways Records,1959,"Guy Carawan Sings Something Old, New, Borrowed and Blue - Guy Carawan, Vol. 2",Guy Carawan,United States,Anglo-American,American Folk,"Banjo; Guitar; Recorder (Muscial instrument)",,"Animals; Ballads; Banjo music; Blues; Christmas music; Courtship; Crime; Fellowship; Folksong revival; Gospel music; Holiday; Instrumental music; Love songs; Lullabies; Military music; Nonsense literature; Occupational; Opera; Outlaw songs; Play-party; Protest songs; Spirituals (Songs); Talking Blues; Topical songs; Tragic songs; Wit and humor",http://www.folkways.si.edu/guy-carawan/sings-something-old-new-borrowed-and-blue-vol-2/american-folk/music/album/smithsonian,United States,-144.000506989432,66.4309911725184
SFW40127,Smithsonian Folkways Recordings,2001,"The Folkways Years, 1964-1983",Red Allen and Frank Wakefield,United States,Anglo-American,Bluegrass,"Banjo; Bass; Dobro; Fiddle; Guitar; Harmonica; Mandolin",English,Bluegrass music,http://www.folkways.si.edu/red-allen-and-frank-wakefield/the-folkways-years-1964-1983/bluegrass/music/album/smithsonian,United States,-85.9020949336642,31.867253363291
FW03551,Folkways Records,1961,The Donegal Piper,Neil A. Duddy,"Ireland; Scotland; United Kingdom; United States",Irish-American,"Celtic; World",Bagpipe,,"Dance; Hornpipes; Instrumental music; Jigs; Marches; Music--British Isles; Music--Ireland; Polka (Dance); Quickstep (Dance)",http://www.folkways.si.edu/neil-a-duddy/the-donegal-piper/celtic-world/music/album/smithsonian,Ireland,-9.34149624436646,53.896752601118
FW03552,Folkways Records,1959,This Little Light of Mine,Guy Carawan,United States,Anglo-American,"American Folk; Gospel",Guitar,,"Folksong revival; Gospel music; Love songs; Lullabies; Murder; Music--Juvenile; Nonsense literature; Play-party; Prison songs; Spirituals (Songs); Wit and humor",http://www.folkways.si.edu/guy-carawan/this-little-light-of-mine/american-folk-gospel/music/album/smithsonian,United States,-111.37483053945,47.5524421231745
SFW40166,Smithsonian Folkways Recordings,2006,Classic Labor Songs from Smithsonian Folkways,Various Artists,United States,American,"American Folk; Struggle &amp; Protest",,English,,http://www.folkways.si.edu/classic-labor-songs-from-folkways/american-folk-struggle-protest/music/album/smithsonian,United States,-143.183622580551,66.5304210447892
FW03553,Folkways Records,1964,"The Donegal Piper, Vol. 2",Neil A. Duddy,"Ireland; Scotland; United Kingdom; United States",Irish-American,"Celtic; World",Bagpipe,,"Dance; Highland fling (Dance); Instrumental music; Jigs; Laments; Marches; Music--British Isles; Music--Ireland; Quadrille (Dance)",http://www.folkways.si.edu/neil-a-duddy/the-donegal-piper-vol-2/celtic-world/music/album/smithsonian,Ireland,-8.70848458242718,52.5589049613938
FW03554,Folkways Records,1961,Barrelhouse Buck: Backcountry Barrelhouse,Thomas McFarland,United States,African American,Blues,"Piano; Vocals",,"Blues; Piano music (Barrelhouse)",http://www.folkways.si.edu/thomas-mcfarland/barrelhouse-buck-backcountry/blues/music/album/smithsonian,United States,-99.2704305707178,35.0402713699871
FW03555,Folkways Records,1961,The Barrel-House Blues of Speckled Red,Speckled Red,United States,African American,Blues,"Piano; Vocals",,"Blues; Boogie woogie (Music); Piano music (Barrelhouse)",http://www.folkways.si.edu/speckled-red/the-barrel-house-blues-of/music/album/smithsonian,United States,-105.086287863022,38.612552947232
FW03557,Folkways Records,1959,Brownie McGhee Sings the Blues,Brownie McGhee,United States,African American,Blues,"Guitar; Vocals",,Blues,http://www.folkways.si.edu/brownie-mcghee/sings-the-blues/music/album/smithsonian,United States,-157.318254359652,60.4809918779608
FW03562,Folkways Records,1960,Joseph Lamb: A Study in Classic Ragtime,Joseph Lamb,United States,Anglo-American,"Jazz &amp; Ragtime",Piano,,"Instrumental music; Oral history; Ragtime",http://www.folkways.si.edu/joseph-lamb/a-study-in-classic-ragtime/jazz/music/album/smithsonian,United States,-105.0224511892,34.9578200221142
FW03563,Folkways Records,1961,Essay in Ragtime: Ragtime Piano Classics,Ann Charters,United States,Anglo-American,"Jazz &amp; Ragtime",Piano,,"Dance; Instrumental music; Jazz; Ragtime; Two-Step (Dance); Waltz",http://www.folkways.si.edu/ann-charters/essay-in-ragtime-piano-classics/jazz/music/album/smithsonian,United States,-165.034798870756,68.4107045284716
FW03564,Folkways Records,1959,False True Lovers,Shirley Elizabeth Collins,United Kingdom,,"Celtic; World","Banjo; Button Accordian; Guitar; Vocals",,"Animals; Ballads; Courtship; Grief; Laments; Love songs; Maritime; Marriage; Migration; Mining--Songs and music; Murder; Music--British Isles; Music--Juvenile; Occupational; Supernatural; Tragic songs; Wit and humor",http://www.folkways.si.edu/shirley-elizabeth-collins/false-true-lovers/celtic-world/music/album/smithsonian,United Kingdom,-3.44926823021725,55.8109940239475
FW03565,Folkways Records,1961,The Elliots of Birtley: A Musical Portrait of a Durham Mining Family,Elliot Family,United Kingdom,,World,,,"Ballads; Documentary; Folksong revival; Mining--Songs and music; Music--British Isles; Oral history; Wit and humor",http://www.folkways.si.edu/elliot-family/the-elliots-of-birtley-a-musical-portrait-of-a-durham-mining-family/world/music/album/smithsonian,United Kingdom,-4.91562123012956,50.2210085229947
FW03566,Folkways Records,1979,On Deck and Below: The Irish at Sea: Music of the Western Ocean Packet,Tom Sullivan,Ireland,,"Celtic; World","Banjo; Concertina; Fiddle; Penny whistle",,"Bawdy songs; Crime; Dance; Foc'sle; Hornpipes; Instrumental music; Jigs; Maritime; Morris dance; Music--British Isles; Music--Ireland; Planxty (Music); Reels (Music); Sea songs; Set dance; Wit and humor",http://www.folkways.si.edu/tom-sullivan/on-deck-and-below-the-irish-at-sea-music-of-the-western-ocean-packet/celtic-world/music/album/smithsonian,Ireland,-8.0907431770882,53.7208400784144
FW03567,Folkways Records,1977,Corliss Lamont Sings for His Family and Friends a Medley of Favorite Hit Songs from American Musicals,Corliss Lamont,United States,Anglo-American,"American Popular; Soundtracks &amp; Musicals",,,"Monologues; Popular music--United States; Tin Pan Alley",http://www.folkways.si.edu/corliss-lamont/sings-for-his-family-and-friends-a-medley-of-favorite-hit-songs-from-american-musicals/music/album/smithsonian,United States,-90.2279786266733,40.3443700769979
FW03568,Folkways Records,1959,Vivien Richman Sings Folk Songs of West Pennsylvania,Vivien Richman,United States,Anglo-American,American Folk,"Accordion; Bass; Bugarija (Lute); Guitar",,"Ballads; Complaint; Courtship; Drinking songs; Folksong revival; Grief; Hymns; Industries; Laments; Logging--Songs and music.; Love songs; Migration; Military music; Murder; Music--Juvenile; Protest songs; Railroads; Sentimental; Spirituals (Songs); Topical songs; Tragic songs; Working class--Songs and music",http://www.folkways.si.edu/vivien-richman/sings-folk-songs-of-west-pennsylvania/american-folk/music/album/smithsonian,United States,-120.127521737016,45.9624617500969
SFW40128,Smithsonian Folkways Recordings,2000,"The Folkways Years, 1959-1973",Memphis Slim,United States,African American,Blues,"Banjo; Guitar; Harmonica; Organ (Musical instrument); Piano; Vocals",English,Blues,http://www.folkways.si.edu/memphis-slim/the-folkways-years-1959-1973/blues/music/album/smithsonian,United States,-150.751377443968,63.3173167800248
FW03570,Folkways Records,1977,The Mountain Dulcimer Instrumental Album,Kevin Roth,United States,Anglo-American,American Folk,"Appalachian dulcimer; Dulcimer",,"Folksong revival; Instrumental music",http://www.folkways.si.edu/kevin-roth/the-mountain-dulcimer-instrumental-album/american-folk/music/album/smithsonian,United States,-142.660752518149,67.6496802647598
FW03571,Folkways Records,1962,Dulcimer Songs and Solos,Paul Clayton,United States,Anglo-American,American Folk,"Appalachian dulcimer; Dulcimer",,"Ballads; Banjo music; Crime; Fiddle tunes; Folksong revival; Heroic tales; Instrumental music; Laments; Love songs; Maritime; Marriage; Murder; Railroads; Tragic songs; Wit and humor",http://www.folkways.si.edu/paul-clayton/dulcimer-songs-and-solos/american-folk/music/album/smithsonian,United States,-114.431015632959,35.1209408074699
FW03572,Folkways Records,1963,Mark Spoelstra Recorded at Club 47,Mark Spoelstra,United States,Anglo-American,American Folk,"Guitar; Twelve string guitar; Vocals",,"Blues; Folksong revival; Instrumental music; Laments; Love songs; Military music; Protest songs",http://www.folkways.si.edu/mark-spoelstra/recorded-at-club-47/american-folk/music/album/smithsonian,United States,-164.764768620243,62.4902183337849
FW03575,Folkways Records,1965,Irish Music in London Pubs,Various Artists,"Ireland; United Kingdom",,"Celtic; World","Bagpipe; Banjo; Fiddle; Flageolet; Flute; Melodeon (Button-key accordion)",,"Ballads; Dance; Games; Hornpipes; Instrumental music; Jigs; Love songs; Music--British Isles; Music--Ireland; Occupational; Polka (Dance); Reels (Music); Sports; Supernatural; Wit and humor",http://www.folkways.si.edu/irish-music-in-london-pubs/celtic-world/music/album/smithsonian,Ireland,-9.05124735299721,53.4189453982192
FW03580,Folkways Records,1978,"The First Few Words: Mountain Dulcimer Instrumental Album, Vol. 2",Kevin Roth,United States,Anglo-American,American Folk,"Appalachian dulcimer; Dulcimer; Kora",,Folksong revival,http://www.folkways.si.edu/kevin-roth/the-first-few-words-mountain-dulcimer-instrumental-album-vol-2/american-folk/music/album/smithsonian,United States,-141.853751277851,61.8999007485538
FW03581,Folkways Records,1964,First Songs,Michael Hurley,United States,Anglo-American,American Folk,"Fiddle; Guitar",,"Folksong revival; Nostalgia",http://www.folkways.si.edu/michael-hurley/first-songs/american-folk/music/album/smithsonian,United States,-160.244946039489,62.0870947914929
FW03585,Folkways Records,1957,"His Story Told, Annotated and Documented",Blind Willie Johnson,United States,African American,"Blues; Oral History &amp; Biography",Guitar,,"Blues; Documentary",http://www.folkways.si.edu/blind-willie-johnson/his-story-told-annotated-and-documented/blues-oral-history-biography/album/smithsonian,United States,-90.1806457408082,39.7389006019009
FW03588,Folkways Records,1984,Pink Anderson: Carolina Medicine Show Hokum and Blues with Baby Tate,Pink Anderson,United States,African American,Blues,"Guitar; Vocals",,"Blues; Medicine shows",http://www.folkways.si.edu/pink-anderson/carolina-medicine-show-hokum-and-blues-with-baby-tate/music/album/smithsonian,United States,-148.940998707482,66.4790565397335
FW03591,Folkways Records,1960,Document of a Dream: A Reenactment of the Diaries of Theodor Herzl,Gilbert Mack,Israel,,"Judaica; Oral History &amp; Biography; World History",,English,"Documentary; Jewish; Judaica; Monologues",http://www.folkways.si.edu/gilbert-mack/document-of-a-dream-a-reenactment-of-the-diaries-of-theodor-herzl/judaica-oral-history-biography-world-history/album/smithsonian,Israel,35.0744597506747,30.3422455461238
FW03602,Folkways Records,1959,The Symphony Orchestra and Its Instruments,Henry Cowell,United States,,"Classical; Music Instruction","Bass; Bassoon; Clarinet; English horn; Flute; Horn (Musical instrument); Oboe; Percussion instruments; Piccolo; Trombone; Trumpet; Tuba; Viola; Violin; Violoncello",,"Lectures and lecturing; Music; Music Instruction and study; Spoken word",http://www.folkways.si.edu/henry-cowell/the-symphony-orchestra-and-its-instruments/classical-music-instruction/album/smithsonian,United States,-85.3409207998487,45.9003583487442
FW03603,Folkways Records,1960,Invitation to Music,Elie Siegmeister,United States,,"Classical; Music Instruction",,,"Lectures and lecturing; Music; Music Instruction and study",http://www.folkways.si.edu/elie-siegmeister/invitation-to-music/classical-music-instruction/album/smithsonian,United States,-106.560163763464,47.0730250784274
FW03604,Folkways Records,1962,Traditional Harmony Prepared by Vaclav Nelhybel,William Geib,United States,,"Classical; Music Instruction",,,"Lectures and lecturing; Music; Music Instruction and study",http://www.folkways.si.edu/william-geib/traditional-harmony-prepared-by-vaclav-nelhybel/classical-music-instruction/album/smithsonian,United States,-87.2480751043342,40.0611560846481
FW03605,Folkways Records,1962,Forms in Instrumental Music: Prepared by Vaclav Nelhybel - Music Examples by Chamber Orchestra and Piano,William Geib,United States,,"Classical; Music Instruction",Piano,,"Instructional; Instrumental music; Music",http://www.folkways.si.edu/william-geib/forms-in-instrumental-music-prepared-by-vaclav-nelhybel-music-examples-by-chamber-orchestra-and-piano/classical-music-instruction/album/smithsonian,United States,-106.154990359603,46.7812877681048
FW03606,Folkways Records,1962,Modal Counterpoint in the Style of the 16th Century Prepared by Vaclav Nelhybel,William Geib,United States,,"Classical; Music Instruction",,,"Lectures and lecturing; Music; Music Instruction and study; Music--15th century",http://www.folkways.si.edu/william-geib/modal-counterpoint-in-the-style-of-the-16th-century-prepared-by-vaclav-nelhybel/classical-music-instruction/album/smithsonian,United States,-99.6776954334904,37.7000110543241
FW03607,Folkways Records,1962,Music Arrangement: Prepared by Vaclav Nelhybel - Musical Examples Played by Chamber Orchestra,William Geib,United States,,"Classical; Music Instruction",Piano,,"Instructional; Music; Spoken word",http://www.folkways.si.edu/william-geib/music-arrangement-prepared-by-vaclav-nelhybel-musical-examples-played-by-chamber-orchestra/classical-music-instruction/album/smithsonian,United States,-163.401809557368,62.3498983162923
FW03609,Folkways Records,1964,The Fugue in the Style of the 18th Century,Vaclav Nelhybel,United States,,"Classical; Music Instruction",,,"Lectures and lecturing; Music; Music Instruction and study; Music--17th century",http://www.folkways.si.edu/vaclav-nelhybel/the-fugue-in-the-style-of-the-18th-century/classical-music-instruction/album/smithsonian,United States,-111.48134691146,48.8698740399121
FW03610,Folkways Records,1964,Tonal Counterpoint in the Style of the 18th Century Prepared by Vaclav Nelhybel,Vaclav Nelhybel,United States,,"Classical; Music Instruction",,,"Lectures and lecturing; Music; Music Instruction and study; Music--17th century",http://www.folkways.si.edu/vaclav-nelhybel/tonal-counterpoint-in-the-style-of-the-18th-century-prepared-by-vaclav-nelhybel/classical-music-instruction/album/smithsonian,United States,-96.7614285410791,29.6748356752197
FW03612,Folkways Records,1961,Twelve-Tone Composition Prepared by Vaclav Nelhybel,William Geib,United States,,"Classical; Music Instruction",,,"Contemporary music; Lectures and lecturing; Music; Music Instruction and study",http://www.folkways.si.edu/william-geib/twelve-tone-composition-prepared-by-vaclav-nelhybel/classical-music-instruction/album/smithsonian,United States,-88.8452543935566,45.5363573227375
FW03651,Folkways Records,1965,Music for Brass Quintet,The American Brass Quintet,United States,,Classical,,,Music,http://www.folkways.si.edu/the-american-brass-quintet/classical/music/album/smithsonian,United States,-68.7776301201397,44.8944499516753
FW03652,Folkways Records,1967,Music of the Renaissance and Baroque for Brass Quintet,The American Brass Quintet,United States,,Classical,,,"Music; Music--15th century; Music--17th century",http://www.folkways.si.edu/the-american-brass-quintet/music-of-the-renaissance-and-baroque-for-/classical/music/album/smithsonian,United States,-158.127517762985,64.9509730362183
FW03805,Folkways Records,1960,The Unfortunate Rake,Various Artists,United Kingdom,"Anglo-American; Scottish","American Folk; Struggle &amp; Protest","Banjo; Concertina; Guitar",,"Ballads; Blues; Cowboys--Songs and music; Folk songs--United States; Logging--Songs and music.; Love songs; Maritime; Military music; Mining--Songs and music; Music--British Isles; Occupational; Protest songs; Sports; Topical songs; Tragic songs; Wit and humor; Working class--Songs and music; World music",http://www.folkways.si.edu/the-unfortunate-rake/american-folk-struggle-protest/music/album/smithsonian,United Kingdom,-2.53568003895265,52.0647095651253
FW03809,Folkways Records,1964,"Fine Times at Our House: Traditional Music of Indiana: Ballads, Fiddle Tunes, Songs",Various Artists,United States,Anglo-American,"American Folk; Old Time","Fiddle; Guitar",,"Adunke; Agriculture; Animals; Ballads; Courtship; Dance; Fiddle tunes; Folk songs--United States; Games; Hornpipes; Hymns; Instrumental music; Love songs; Military music; Murder; Music--Juvenile; Play-party; Religious; Supernatural; Tragic songs; Waltz; Wit and humor",http://www.folkways.si.edu/fine-times-at-our-house-traditional-music-of-indiana-ballads-fiddle-tunes-songs/american-folk-old-time/album/smithsonian,United States,-159.020016429946,62.9889706601361
FW03810,Folkways Records,1958,Buell Kazee Sings and Plays,Buell Kazee,United States,Anglo-American,"American Folk; Old Time; Sacred","Banjo; Vocals",,"Animals; Ballads; Banjo music; Courtship; Crime; Dance; Drinking songs; Folk songs--United States; Hymns; Love songs; Music--Appalachian Region, Southern.; Music--Juvenile; Railroads; Religious; Tragic songs",http://www.folkways.si.edu/buell-kazee/sings-and-plays/american-folk-old-time-sacred/music/album/smithsonian,United States,-148.309438629458,63.2044619263725
FW03811,Folkways Records,1962,"Traditional Music from Grayson and Carroll Counties, Virginia: Songs, Tunes with Fiddle, Banjo and Band",Various Artists,United States,Anglo-American,"American Folk; Bluegrass; Old Time","Banjo; Bass; Fiddle; Guitar; Mandolin",,"Animals; Ballads; Banjo music; Courtship; Dance; Fiddle tunes; Folk songs--United States; Folksong revival; Instrumental music; Love songs; Marriage; Murder; Nonsense literature; Railroads--Songs and music; String band; Wit and humor",http://www.folkways.si.edu/traditional-music-from-grayson-and-carroll-counties-virginia-songs-tunes-with-fiddle-banjo-and-band/american-folk-bluegrass-old-time/album/smithsonian,United States,-117.202454080192,36.4286609939949
FW03812,Folkways Records,1964,Music from the Ozarks,Various Artists,United States,Anglo-American,American Folk,"Fiddle; Guitar; Harmonica; Mandolin",,"Ballads; Blues; Dance; Disasters; Fiddle tunes; Folk songs--United States; Gospel music; Monologues; Railroads; Spirituals (Songs); Waltz",http://www.folkways.si.edu/music-from-the-ozarks/american-folk/album/smithsonian,United States,-96.8588300797628,46.7960263990883
FW03814,Folkways Records,1961,"The Blues in St. Louis, Vol. 1: Daddy Hotcakes",Daddy Hotcakes,United States,African American,Blues,"Guitar; Harmonica; Washboard band music",,Blues,http://www.folkways.si.edu/daddy-hotcakes/the-blues-in-st-louis-vol-1/music/album/smithsonian,United States,-160.72867684722,59.4649357147094
FW03815,Folkways Records,1984,"The Blues in St. Louis, Vol. 2: Henry Brown and Edith Johnson: Barrelhouse Piano and Classic Blues",Henry Brown and Edith Johnson,United States,African American,Blues,Piano,,"Blues; Piano music (Barrelhouse)",http://www.folkways.si.edu/henry-brown-and-edith-johnson/the-blues-in-st-louis-vol-2-barrelhouse-piano-and-classic-blues/music/album/smithsonian,United States,-97.7991302354102,32.2361478011999
FW03817,Folkways Records,1959,"Blues with Big Bill Broonzy, Sonny Terry and Brownie McGhee","Big Bill Broonzy, Sonny Terry, and Brownie McGhee",United States,African American,Blues,"Guitar; Harmonica",,"Blues; Spirituals (Songs)",http://www.folkways.si.edu/big-bill-broonzy-sonny-terry-and-brownie-mcghee/blues-with/music/album/smithsonian,United States,-152.403535963497,61.746111098776
FW03818,Folkways Records,1959,"Ballads, Blues, and a Spiritual",Dave Van Ronk,United States,,"American Folk; Blues","Guitar; Vocals",,"Blues; Folk songs--United States; Folksong revival; Spirituals (Songs)",http://www.folkways.si.edu/dave-van-ronk/ballads-blues-and-a-spiritual/american-folk/music/album/smithsonian,United States,-144.772617240555,69.2848489390938
FW03821,Folkways Records,1961,Sonny Terry's New Sound: Jawharp in Blues and Folk Music: With Brownie McGhee and J. C. Burris,Sonny Terry,United States,African American,Blues,"Bones; Guitar; Harmonica; Jew's Harp",,"Animals; Blues; Dance; Folk songs--United States; Play-party; Religious",http://www.folkways.si.edu/sonny-terry/new-sound-jawharp-in-blues-and-folk-music-with-brownie-mcghee-and-j-c-burris/music/album/smithsonian,United States,-115.393165916334,33.5622149195031
